feature,importance
int_rate,0.14037582
term_months,0.050933834
home_ownership_4,0.03395028
verification_status_2,0.025227148
fico_score,0.024678143
mort_acc,0.024150288
addr_state_36,0.017661097
addr_state_46,0.015059132
tot_hi_cred_lim,0.014689745
open_rv_24m,0.014502506
addr_state_5,0.014246817
purpose_11,0.013722199
loan_amnt,0.013477449
dti,0.0132412035
num_actv_rev_tl,0.012934046
avg_cur_bal,0.011564118
verification_status_1,0.011333313
bc_open_to_buy,0.011119287
inq_last_6mths,0.010194089
addr_state_39,0.010150581
emp_length_num,0.009845009
addr_state_6,0.009711668
mths_since_recent_inq,0.008754748
disbursement_method_1,0.008671286
acc_open_past_24mths,0.008400947
delinq_2yrs,0.008342941
purpose_7,0.008178167
addr_state_Other,0.007997904
annual_inc,0.007838367
num_actv_bc_tl,0.007788582
application_type_1,0.007627693
total_bc_limit,0.0075598024
addr_state_17,0.0075389952
addr_state_10,0.0075077056
addr_state_19,0.007490327
addr_state_33,0.0074648303
addr_state_30,0.007204968
total_rev_hi_lim,0.007140477
num_il_tl,0.006882212
mo_sin_old_rev_tl_op,0.006844737
delinq_amnt,0.0067077023
pub_rec_bankruptcies,0.0064863455
addr_state_9,0.0064798133
home_ownership_3,0.006402531
purpose_1,0.0063356184
open_acc_6m,0.006319888
purpose_6,0.006106545
max_bal_bc,0.006052146
addr_state_37,0.0060419575
addr_state_4,0.006001761
initial_list_status_1,0.0059978864
purpose_Other,0.0059975972
percent_bc_gt_75,0.0059160874
revol_util,0.0058845677
revol_bal,0.005864226
addr_state_18,0.005777657
mths_since_recent_bc,0.005777306
credit_history_years,0.005633967
bc_util,0.005436193
purpose_9,0.005431736
purpose_2,0.0053902357
total_cu_tl,0.0053712623
mths_since_last_delinq,0.005355175
all_util,0.0053532925
addr_state_13,0.0053090057
purpose_4,0.005281642
addr_state_42,0.0052577406
tot_cur_bal,0.0052395253
mths_since_last_major_derog,0.0051988033
num_accts_ever_120_pd,0.005181832
total_acc,0.0051779123
pub_rec,0.0051242905
zip_code_Other,0.005121181
mths_since_rcnt_il,0.0050650006
addr_state_26,0.0050552976
tax_liens,0.0050449003
il_util,0.005040393
mths_since_recent_bc_dlq,0.0049815103
open_il_24m,0.004901802
mo_sin_rcnt_tl,0.004866262
num_rev_accts,0.004859963
acc_now_delinq,0.0048364666
zip_code_856,0.004824067
addr_state_23,0.004766616
addr_state_47,0.004758201
inq_last_12m,0.004680908
inq_fi,0.0045896415
addr_state_32,0.004576929
mths_since_recent_revol_delinq,0.0045691202
total_bal_il,0.00453332
open_act_il,0.0045194835
total_bal_ex_mort,0.00446547
num_tl_30dpd,0.0044542667
tot_coll_amt,0.0044181016
num_bc_sats,0.0044146297
open_il_12m,0.0044005075
num_tl_90g_dpd_24m,0.0043153763
num_tl_op_past_12m,0.0042935424
mo_sin_old_il_acct,0.004127602
num_bc_tl,0.0040508155
pct_tl_nvr_dlq,0.004045679
addr_state_14,0.0040118257
mo_sin_rcnt_rev_tl_op,0.0039538117
open_rv_12m,0.0037838686
addr_state_22,0.003782912
open_acc,0.003766942
num_op_rev_tl,0.0036302272
addr_state_34,0.0034842829
addr_state_3,0.003441325
addr_state_44,0.0034335372
addr_state_41,0.0033604482
chargeoff_within_12_mths,0.0028790664
policy_code,0.0
num_tl_120dpd_2m,0.0
home_ownership_Other,0.0
addr_state_21,0.0
